Toshirō Mifune
Isuzu Yamada
Takashi Shimura
Akira Kubo
Hiroshi Tachikawa
Minoru Chiaki
Takamaru Sasaki
Gen Shimizu
Kokuten Kōdō
Kichijirô Ueda
Eiko Miyoshi
Chieko Naniwa
Nakajirô Tomita
Yû Fujiki
Sachio Sakai
Shin Ôtomo
Yoshio Tsuchiya
Yoshio Inaba
Takeo Oikawa
Akira Tani
Ikio Sawamura
Yutaka Sada
Seijirô Onda
Shinpei Takagi
Masao Masuda
Mitsuo Asano
Akifumi Inoue
Asao Koike
Takeshi Katō
Hitoshi Takagi
Michiya Higuchi
Senkichi Ômura
Gorô Sakurai
Shirō Tsuchiya
Takeo Matsushita
Jun Ôtomo
Kamayuki Tsubono
Fuminori Ôhashi
Isao Kimura
Seiji Miyaguchi
Nobuo Nakamura
