Humphrey Bogart
Walter Brennan
Lauren Bacall
Dolores Moran
Hoagy Carmichael
Sheldon Leonard
Walter Szurovy
Marcel Dalio
Walter Sande
Dan Seymour
Aldo Nadi
Eugene Borden
Lance Fuller
Maurice Marsac
Ron Randell
Jack Chefe
Adrienne D'Ambricourt
Jean De Briac
Marcel De La Brosse
Elzie Emanuel
Harold Garrison
Fred Farrell
Suzette Harbin
Sir Lancelot
Paul Marion
Louis Mercier
George Suzanne
Crane Whitley
Chef Milani
Pedro Regas
Patricia Shay
Emmett Smith
George Sorel
Marguerita Sylva
Pat West
