Gregory Peck
John Megna
Frank Overton
Rosemary Murphy
Ruth White
Brock Peters
Estelle Evans
Paul Fix
Collin Wilcox Paxton
James Anderson
Alice Ghostley
Robert Duvall
William Windom
Crahan Denton
Richard Hale
Mary Badham
Phillip Alford
R.L. Armstrong
Walter Bacon
Eddie Baker
Bobby Barber
John Barton
Audrey Betz
Danny Borzage
John Breen
Jess Cavin
Noble Chissell
Steve Condit
David Crawford
Frank Ellis
Charles Fredericks
Herman Hack
Jester Hairston
Chuck Hamilton
Kim Hamilton
Kim Hector
Michael Jeffers
Dick Johnstone
Chester Jones
Colin Kenny
Ethan Laidlaw
Nancy Marshall
Clyde McLeod
Charles Morton
Paulene Myers
William H. O'Brien
Charles Perry
Joe Ploski
Hugh Sanders
Barry Seltzer
Edward C. Short
Mabel Smaney
Eddie Smith
Walter Smith
Cap Somers
George Sowards
Ray Spiker
Kim Stanley
Kelly Thordsen
Arthur Tovey
George Tracy
Sailor Vincent
Max Wagner
Bill Walker
Bill Walker
Joe Walls
Dan White
Guy Wilkerson
Chalky Williams
