Christian Slater
Patricia Arquette
Michael Rapaport
Bronson Pinchot
Gary Oldman
Dennis Hopper
Christopher Walken
Brad Pitt
Tom Sizemore
Samuel L. Jackson
Saul Rubinek
James Gandolfini
Frank Adonis
Paul Bates
Val Kilmer
Chris Penn
Anna Levine
Eric Allan Kramer
Conchata Ferrell
Victor Argo
Said Faraj
Gregory Sporleder
Maria Pitillo
Kevin Corrigan
Paul Ben-Victor
Michael Beach
Joe D'Angerio
John Bower
John Cenatiempo
Patrick John Hurley
Dennis Garber
Scott Evers
Hilary Klym
Steve Gonzales
Laurence Mason
David Dean
April Freeman
Ed Lauter
Enzo Rossi
Nancy Young
