Kristen Stewart
Robert Pattinson
Billy Burke
Taylor Lautner
Ashley Greene
Peter Facinelli
Kellan Lutz
Nikki Reed
Elizabeth Reaser
Anna Kendrick
Jackson Rathbone
Sarah Clarke
Matt Bushell
Gil Birmingham
Gregory Tyree Boyce
Justin Chon
Michael Welch
Christian Serratos
José Zúñiga
Trish Egan
Ayanna Berkshire
Ned Bellamy
Bryce Flint-Sommerville
Solomon Trimble
Rachelle Lefevre
Cam Gigandet
Edi Gathegi
Alexander Mendeluk
Hunter Jackson
Gavin Bristol
Sean McGrath
Katie Powers
Catherine Grimme
William Joseph Elk III
Victoria Geil
Stephenie Meyer
Rick Mora
Rana Morrison
Edward Stiner
Robert Zorn
Humberto Amor
Aaron Atkins
Kristopher Hyatt
Sherry Nelson
Tyler Nordby
Trip Ross
Josh Turner
Maggie-Jo Turner
