Kyle MacLachlan
Michael Ontkean
Mädchen Amick
Dana Ashbrook
Richard Beymer
Lara Flynn Boyle
Sherilyn Fenn
Warren Frost
Peggy Lipton
James Marshall
Everett McGill
Jack Nance
Ray Wise
Joan Chen
Piper Laurie
Sheryl Lee
Wendy Robie
Russ Tamblyn
Eric DaRe
Mary Jo Deschanel
Harry Goaz
Gary Hershberger
Michael Horse
Grace Zabriskie
Troy Evans
John Boylan
Rodney Harvey
Robert Davenport
Jan D'Arcy
Kimmy Robertson
Jessica Wallenfels
Don S. Davis
Charlotte Stewart
Roberta Maguire
Phoebe Augustine
Frank Roberts
Brett Vadset
David Wasman
Jane Jones
Tawnya Pettiford-Wates
Shelley Henning
Dorothy Roberts
Julee Cruise
Arnie Stenseth
Andrea Hays
Rick Tutor
Marjorie Nelson
Ben DiGregorio
Diane Caldwell
Catherine E. Coulson
Al Strobel
