Machiko Kyō
Mitsuko Mito
Kinuyo Tanaka
Masayuki Mori
Eitarō Ozawa
Sugisaku Aoyama
Mitsusaburō Ramon
Ryōsuke Kagawa
Kichijirô Ueda
Shōzō Nanbu
Kikue Mōri
Ryūzaburō Mitsuoka
Ichirô Amano
Eigoro Onoe
Saburo Date
Fumihiko Yokoyama
Ichisaburo Sawamura
Koji Murata
Yukio Horikita
Akira Shimizu
Shuntaro Tamamura
Shirô Osaki
Toshio Chiba
Hachiro Okuni
Shirô Miura
Hajime Koshikawa
Tetsu Mikami
Jun Fujikawa
Takaji Fukui
Eiji Ishikura
Tokurin Takeda
Koji Kanda
Masayoshi Kikuno
Michio Yuri
Sô Funagami
Shigeru Hasegawa
Teruko Omi
Keiko Koyanagi
Masako Tomura
Tokiko Mita
Tokuko Ueda
Sachiko Soma
Reiko Kongō
Ikkei Tamaki
