Nino Manfredi
Vittorio Gassman
Stefania Sandrelli
Stefano Satta Flores
Giovanna Ralli
Aldo Fabrizi
Marcella Michelangeli
Elena Fabrizi
Fiammetta Baralla
Luciano Bonanni
Mike Bongiorno
Dino Curcio
Ugo Gregoretti
Isa Barzizza
Marcello Mastroianni
Federico Fellini
Nello Meniconi
Armando Curcio
Carla Mancini
Lorenzo Piani
Amedeo Fabrizi
Aristide Caporale
Alberto Postorino
Vittorio De Sica
Laurence Harvey
Lamberto Maggiorani
Enzo Staiola
Monica Vitti
