Bette Davis
Joan Crawford
Victor Buono
Wesley Addy
Julie Allred
Anne Barton
Marjorie Bennett
Bert Freed
Anna Lee
Maidie Norman
Dave Willock
William Aldrich
Russ Conway
Maxine Cooper
Robert Cornthwaite
Michael Fox
Gina Gillespie
Barbara Merrill
Don Ross
James Seay
John Shay
Jon Shepodd
Peter Virgo
Bobs Watson
Debbie Burton
Murray Alper
Ernest Anderson
Steve Condit
Dorothea Lord
Norman Papson
Mike Ragan
Sammy Shack
Michael St. Angel
Jack Tornek
Ralph Volkie
Robert Perry
Bill Walker
