Taika Waititi
Jemaine Clement
Jonny Brugh
Cori Gonzalez-Macuer
Stuart Rutherford
Ben Fransham
Jackie van Beek
Elena Stejko
Jason Hoyte
Karen O'Leary
Mike Minogue
Chelsie Preston Crayford
Ian Harcourt
Ethel Robinson
Brad Harding
Isaac Heron
Yvette Parsons
Madeleine Sami
Aaron Jackson
Morgana Hills
Morag Hills
Frank Habicht
Moose Kapua
Denis Welch
Mario Gaoa
Kura Forrester
Luke Bonjers
Rhys Darby
Simon Vincent
Cohen Holloway
Duncan Sarkies
Nathan Meister
Tanemahuta Gray
Nathan Gray
Ruby Vincent
Jaxon Cook
Matthew Harvey-White
Matt Dravitzki
Roland Hunter
Stan Alley
Lucy Marinkavich
Melanie Hamilton
Ana Flaherty
Aaron Lewis
Belle Gwilliam
Rodney Cook
Jennifer Martin
Emma Draper
Natalie Crane
Emma Smith
