James Cagney
Virginia Mayo
Edmond O'Brien
Margaret Wycherly
Steve Cochran
John Archer
Wally Cassell
Fred Clark
Paul Guilfoyle
Ford Rainey
Robert Foulk
Ian MacDonald
Robert Osterloh
Joel Allen
Claudia Barrett
Ray Bennett
Marshall Bradford
Chet Brandenburg
John Butler
Robert Carson
Bill Cartledge
Leo Cleary
Fred Coby
Tom Coleman
G. Pat Collins
Herschel Daugherty
Charles Ferguson
Art Foster
Eddie Foster
Buddy Gorman
Sherry Hall
Carl Harbaugh
Clarence Hennecke
Perry Ivins
Colin Kenny
Mickey Knox
Harry Lauter
Nolan Leary
Murray Leonard
Larry McGrath
John McGuire
Sid Melton
Art Miles
Ray Montgomery
Terry O'Sullivan
Milton Parsons
Jack Perrin
Jack Perry
Lee Phelps
Eddie Phillips
John Pickard
Joey Ray
Grandon Rhodes
Jeffrey Sayre
George Spaulding
Harry Strang
Jim Thorpe
Jim Toney
Sid Troy
