Bob Hoskins
Christopher Lloyd
Joanna Cassidy
Charles Fleischer
Kathleen Turner
Stubby Kaye
Alan Tilvern
Richard LeParmentier
Lou Hirsch
Betsy Brantley
Mel Blanc
Mae Questel
Frank Sinatra
Richard Williams
Wayne Allwine
Frank Welker
Mickie McGowan
Jack Angel
Nancy Cartwright
June Foray
Joel Silver
Amy Irving
Paul Springer
Richard Ridings
Edwin Craig
Lindsay Holiday
Mike Edmonds
Morgan Deare
Danny Capri
Christopher Hollosy
Jean-Paul Sipla
Laura Frances
Joel Cutrara
Billy J. Mitchell
Eric B. Sindon
Ed Herlihy
James O'Connell
Eugene Gutierrez
April Winchell
Tony Anselmo
Mary T. Radford
Joe Alaskey
David L. Lander
Fred Newman
June Foray
Russi Taylor
Les Perkins
Richard Williams
Pat Buttram
Jim Cummings
Jim Gallant
Tony Pope
Peter Westy
Cherry Davis
