Victor Sjöström
Ingrid Thulin
Bibi Andersson
Gunnar Sjöberg
Jullan Kindahl
Folke Sundquist
Björn Bjelfvenstam
Naima Wifstrand
Gunnel Broström
Gertrud Fridh
Gunnar Björnstrand
Sif Ruud
Yngve Nordwall
Per Sjöstrand
Lena Bergman
Gio Petré
Monica Ehrling
Gunnel Lindblom
Maud Hansson
Eva Norée
Göran Lundquist
Per Skogsberg
Max von Sydow
Ann-Marie Wiman
Åke Fridell
Vendela Rudbäck
Josef Norman
Gunnar Olsson
Helge Wulff
Ulf Johanson
Peder Hellman
