Gene Wilder
Peter Ostrum
Jack Albertson
Roy Kinnear
Julie Dawn Cole
Leonard Stone
Denise Nickerson
Nora Denney
Paris Themmen
Ursula Reit
Michael Bollner
Günter Meisner
Diana Sowle
Aubrey Woods
David Battley
Peter Capell
Tim Brooke-Taylor
Marcus Powell
Rusty Goffe
Malcolm Dixon
Michael Goodliffe
Kurt Großkurth
Pat Coombs
Werner Heyking
Peter Stewart
Franziska Liebing
Dora Altmann
Ernst Ziegler
Frank Delfino
Rudy Borgstaller
George Claydon
Ismed Hassan
Norman McGlen
Angelo Muscat
Stephen Dunne
Victor Beaumont
Walker Edmiston
Michael Gahr
Shin Hamano
Jack Latham
Gloria Manon
Ed Peck
Pepi Poupee
Marcus Powell
Bob Roe
Madeline Stuart
Albert Wilkinson
