Tyrone Power
Marlene Dietrich
Charles Laughton
Elsa Lanchester
John Williams
Henry Daniell
Ian Wolfe
Torin Thatcher
Norma Varden
Una O'Connor
Francis Compton
Philip Tonge
Ruta Lee
Bess Flowers
Leoda Richards
Patrick Aherne
Eddie Baker
Brandon Beach
Colin Kenny
Fred Rapport
Danny Borzage
George Bruggeman
Steve Carruthers
Stuart Hall
Art Howard
Paul Kruger
Jeanne Lafayette
Wilbur Mack
John Roy
Scott Seaton
Cap Somers
Bert Stevens
Arthur Tovey
Glen Walters
Marjorie Eaton
Franklyn Farnum
William H. O'Brien
Michael Jeffers
Ottola Nesmith
J. Pat O'Malley
George Pelling
Jack Raine
Jeffrey Sayre
Norbert Schiller
Ben Wright
Waclaw Rekwart
Frank McLure
Walter Bacon
Herschel Graham
