Ryunosuke Kamiki
Mone Kamishiraishi
Ryō Narita
Aoi Yuki
Nobunaga Shimazaki
Kaito Ishikawa
Kanon Tani
Masaki Terasoma
Sayaka Ohara
Kazuhiko Inoue
Chafurin
Kana Hanazawa
Shinya Hamazoe
Masami Nagasawa
Etsuko Ichihara
Yuka Terasaki
Takashi Onozuka
Kanami Satō
Shinjirō Gōda
Yasuhiro Kikuchi
Tamari Hinata
Nozomi Yamane
Yūki Shin
Tatsuya Murakami
Nodoka Hasegawa
Baron Yamazaki
Suguru Inoue
Ryoko Usami
Miho Morisaki
Tsuyoshi Minamijima
Aika Oomae
Tomohiro Yamaguchi
Takayuki Nakatsukasa
Hiroki Matsukawa
Shouko Negoro
Haruka Ōminami
Manami Hanawa
Miho Tabata
Eriko Tomioka
Eiji Yamamoto
