Yves Montand
Irene Papas
Jean-Louis Trintignant
Jacques Perrin
Charles Denner
Bernard Fresson
François Périer
Pierre Dux
Georges Géret
Magali Noël
Marcel Bozzuffi
Renato Salvatori
Julien Guiomar
Jean Dasté
Clotilde Joano
Maurice Baquet
Hassan Hassani
Gérard Darrieu
Jean Bouise
Jean-Pierre Miquel
Van Doude
Guy Mairesse
Andrée Tainsy
Eva Simonet
François Chaumette
José Artur
Raoul Coutard
Steve Gadler
Gabriel Jabbour
Sid Ahmed Agoumi
Georges Rouquier
